DCCN0060000,CD  6 G/M
IHRT085700N,RIOGEL TRONER 85X700 (NORD)
IHRT0855000,RIOGEL TRONER 85x500 MM
IHRT090500E,RIOGEL TRONER 90x500 (EXP)
IHRT090500F,RIOGEL TRONER 90X500 (FR)
IHRT090500M,RIOGEL TRONER HE 90x500 (Mc)
IHRT090500N,RIOGEL TRONER 90X500 (NORD)
IHRT0905000,RIOGEL TRONER 90x500 MM
IHRT095480F,RIOGEL TRONER 95X480 (FR)
IHRT110485F,RIOGEL TRONER 110X485 (FR)
IHRT1104850,RIOGEL TRONER 110x485 MM
IHRT1104950,RIOGEL TRONER 110x495 MM
IHRT125500E,RIOGEL TRONER 125x500 (EXP)
IHRT1255000,RIOGEL TRONER 125x500 MM
IHRT1404700,RIOGEL TRONER 140x470 MM
IHRT1605000,RIOGEL TRONER 160x500 MM
IHRT2003000,RIOGEL TRONER 200x300 MM
IHRT2004500,RIOGEL TRONER 200x450 MM
IHRT2005000,RIOGEL TRONER 200x500 MM
ILMP0000000,MECHA LENTA PIROTECNICA
IMSC0062000,SIPECORD 6 (SPOOL 200M)
IMSC0062500,SIPECORD 6 (SPOOL 250M)
IMSC0121000,SIPECORD 12
IMSC0800500,SIPECORD 80 GRS.
IMSC1000300,SIPECORD 100
IN11026200Q,RIOPER G 26x200 mm (Paraffin wax Paper 167g)  (Box 20kg)
IN110262000,RIOPER G 26x200 mm (Paraffin wax Paper 167g)  (Box 25kg)
IN110282250,RIOPER G 28X225 MM  (227 GRS)
IN11029200Q,RIOPER G 29x200 MM (GRİZU EMNİYETLİ PATLAYICILAR) (208G)(KUTU 20KG)
IN110292000,RIOPER G 29x200 mm (Paraffin wax Paper 208g)  (Box 25kg)
IN11032200Q,RIOPER G 32x200 MM (GRİZU EMNİYETLİ PATLAYICILAR)(250G)(KUTU 20KG)
IN110322000,RIOPER G 32x200 mm (Paraffin wax Paper 250g)  (Box 25kg)
IN110323500,RIOPER G 32X350 MM  (463 GRS)
IN210262000,RIOPER P 26x200 mm (Paraffin wax Paper 132g)  (Box 25kg)
IN210322000,EXPLOSIVO SEG.20 SR DE 32X200
