32109025U	Conector 9 M 25ms Primadet EZTL/Rionel SCX
32109042U	Conector 9 M 42ms Primadet EZTL/Rionel SCX
32110,2100F	RAC REP 5T 10M2 100MS MX 4S
32110,217F	RAC REP 5T 10M2 17MS MX 4S
32110,225F	RAC REP 5T 10M2 25MS MX 4S
32110,242F	RAC REP 5T 10M2 42MS MX 4S
32110,265F	RAC REP 5T 10M2 65MS MX 4S
32200004,8F	Det - Con 4.8 M Daveyquick
32200006F	Det - Con 6 M Daveyquick
32200009F	DQUICK2 5T 9M 25/400 MX 1B
32200009U	Det - Con 9 M Primadet EZDET/Rionel DDX
32200012F	DQUICK2 5T 12M 25/400 MX 1B
32200012U	Det - Con 12 M Primadet EZDET/Rionel DDX
32200015F	DQUICK2 5T 15M 25/400 MX 1B
32200015U	Det - Con 15 M Primadet EZDET/Rionel DDX
32200018F	DQUICK2 5T 18M 25/400 MX 1B
32200018U	Det - Con 18 M Primadet EZDET/Rionel DDX
32200021F	DQUICK2 5T 21M 25/400 MX 1B
32200021U	Det - Con 21 M Primadet EZDET/Rionel DDX
32200024F	DQUICK2 5T 24M 25/400 MX 1B
32200030F	DQUICK2 5T 30M 25/400 MX 1B
32200030U	Det - Con 30 M Primadet EZDET/Rionel DDX
32300001R	DET.PYRO HERICA M/XB1.1B
32300001U	DET  ORDINARIO albex
32400100F	Det no elec  100 m Nº 20 Daveynel
324010,201spF	Det. No Elec. 10,2 mt. Nº 01 Davyenel SP con J-Hook
32404,8003F	DETO DAVII 4M80 SP 03 1B
32404,8020F	DETO DAVII 4M80 SP 20 1B
32404,803F	Det no electrico 4,8 M Nº 3 con pinza Daveynel
32404,808F	Det no elec 4,8 m Nº 8 Daveynel
32404,810F	Det no elec 4,8 m Nº 10 Daveynel
32404,811F	Det no elec 4,8 m Nº 11 Daveynel
32404,812F	Det no elec 4,8 m Nº 12 Daveynel
32404,814F	Det no elec 4,8 m Nº 14 Daveynel
32404,815F	Det no elec 4,8 m Nº 15 Daveynel
32404,816F	Det no elec 4,8 m Nº 16 Daveynel
32404,817F	Det no elec 4,8 m Nº 17 Daveynel
32404,818F	DETO DAVII 21M SP 18 1B
32404,820F	Daveynel 4.8 mts nº 20
32404,820U	Det no elec 4,8 m nº 20 Primadet/Rionel MS
32406,0.06LPF	DET NE JH BC 6M LP06 SPE2 1B
324060010U	Det no elec 6 M Nº 12 Rionel MS
32406001U	Det no elec 6 M Nº 01 Rionel MS
32406002U	Det no elec 6 M Nº 02 Rionel MS
32406003U	Det no elec 6 M Nº 03 Rionel MS
32406004U	Det no elec 6 M Nº 04 Rionel MS
32406005U	Det no elec 6 M Nº 05 Rionel MS
32406007U	Det no elec 6 M Nº 07 Rionel MS
32406008LPU	Det no elec 6 M Nº 08 Rionel LP (800 ms)
32406008U	Det no elec 6 M Nº 08 Rionel MS
32406009LPU	Det no elec 6 M Nº 09 Rionel LP (900 ms)
32406009U	Det no elec 6 M Nº 09 Rionel MS
32406010LPU	Det no elec 6 M Nº 10 Rionel LP (1000 ms)
32406010U	Det no elec 6 M Nº 10 Rionel MS
32406012LPU	Det no elec 6 M Nº 12 Rionel LP (1200 ms)
32406012U	Det no elec 6 M Nº 12 Rionel MS
32406014LPU	Det no elec 6 M Nº 14 Rionel LP (1400 ms)
32406014U	Det no elec 6 M Nº 14 Rionel MS
